start_time,end_time,venue_name,venue_lat,venue_lon,expected_attendance,event_type
2017-06-13 19:15,2017-06-13 22:15,AT&T Park,37.7786,-122.3893,41284,MLB
2017-06-14 12:45,2017-06-14 15:45,AT&T Park,37.7786,-122.3893,41144,MLB
2017-06-15 19:05,2017-06-15 22:05,Oakland Coliseum,37.7516,-122.2006,21838,MLB
2017-06-16 18:35,2017-06-16 21:35,Oakland Coliseum,37.7516,-122.2006,30184,MLB
2017-06-17 13:05,2017-06-17 16:05,Oakland Coliseum,37.7516,-122.2006,31418,MLB
2017-06-17 18:00,2017-06-17 20:00,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-06-18 13:05,2017-06-18 16:05,Oakland Coliseum,37.7516,-122.2006,34140,MLB
2017-06-19 19:05,2017-06-19 22:05,Oakland Coliseum,37.7516,-122.2006,10482,MLB
2017-06-20 19:05,2017-06-20 22:05,Oakland Coliseum,37.7516,-122.2006,15362,MLB
2017-06-21 19:05,2017-06-21 22:05,Oakland Coliseum,37.7516,-122.2006,12277,MLB
2017-06-22 12:35,2017-06-22 15:35,Oakland Coliseum,37.7516,-122.2006,18747,MLB
2017-06-23 19:15,2017-06-23 22:15,AT&T Park,37.7786,-122.3893,41769,MLB
2017-06-24 16:15,2017-06-24 19:15,AT&T Park,37.7786,-122.3893,41216,MLB
2017-06-24 19:30,2017-06-24 21:30,Avaya Stadium,37.3511,-121.9252,18000,MLS
2017-06-25 13:05,2017-06-25 16:05,AT&T Park,37.7786,-122.3893,41137,MLB
2017-06-26 19:08,2017-06-26 22:08,AT&T Park,37.7786,-122.3893,41388,MLB
2017-06-27 19:15,2017-06-27 22:15,AT&T Park,37.7786,-122.3893,41331,MLB
2017-06-28 12:45,2017-06-28 15:45,AT&T Park,37.7786,-122.3893,41286,MLB
2017-06-30 19:05,2017-06-30 22:05,Oakland Coliseum,37.7516,-122.2006,18000,MLB
